型式,クローズ,多軸,MINA,MINB,MAXA,MAXB,歯数,,,,,傾きH,傾きW,,
RT-195,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-195
RT-196,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-196
RT-197,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-197
RT-198,,,-0.6,23,-2,85,,,,,,3,5,,RT-198
RT-199,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-199
RT-200,,,-0.6,24,-1.3,80,72,1.75,5.498,5.348,200,3,5,,RT-200
RT-201,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-201
RT-205,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-205
RT-207,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-207
RT-208,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-208
RT-209,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-209
RT-210,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-210
RT-211,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-211
RT-212,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-212
RT-213,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-213
RT-214,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-214
RT-215,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-215
RT-216,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-216
RT-217,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-217
RT-218,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-218
RT-219,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-219
RT-220,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-220
RT-221,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-221
RT-222,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-222
RT-223,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-223
RT-224,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-224
RT-225,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-225
RT-226,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-226
RT-227,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-227
RT-228,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-228
RT-229,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-229
RT-230,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-230
RT-231,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-231
RT-232,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-232
RT-233,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-233
RT-236,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-236
RT-237,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-237
RT-240,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-240
RT-241,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-241
RT-242,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-242
RT-244,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-244
RT-245,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-245
RT-246,,,-0.6,24,-1.75,75,,,,,,3,5,,RT-246
RT-247,,,-0.4,29,-1.18,73.5,,,,,,3,5,,RT-247
RT-248,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-248
RT-249,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-249
RT-250,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-250
RT-251,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-251
RT-255,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-255
RT-256,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-256
RT-260,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-260
RT-261,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-261
RT-262,,,-0.6,24,-1.7,80,,,,,,3,5,,RT-262
RT-263,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-263
RT-264,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-264
RT-265,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-265
RT-267,,,,,,,,,,,,3,5,,RT-267
RT-268,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-268
RT-269,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-269
RT-270,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-270
RT-271,,,-0.4,29,-1.18,73.5,,,,,,3,5,,RT-271
RT-275,,,-0.4,29,-1.18,73.5,,,,,,3,5,,RT-275
RT-277,,,,,,,,,,,,3,5,,RT-277
RT-278,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-278
RT-279,,,,,,,,,,,,3,5,,RT-279
RT-280,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-280
RT-281,,,,,,,,,,,,3,5,,RT-281
RT-282,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-282
RT-283,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RT-283
RT-284,,,,7,,30,,,,,,3,5,,RT-284
RT-285,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-285
RT-286,,,-0.4,19,-1.18,63.6,,,,,,3,5,,RT-286
RT-287,,,-0.4,19,-1.1,64,,,,,,3,5,温度20℃で　MIN 10～20sec MAX 40sec 以下,RT-287
RT-288,,,-0.6,24,-1.3,80,,,,,,3,5,,RT-288
RT-289,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-289
RT-291,,,-0.4,29,-1.18,73.5,,,,,,3,5,,RT-291
RT-292,,,-0.4,29,-1.18,73.5,,,,,,3,5,,RT-292
RT-47,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-47
RT-54,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-54
RT-57,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-57
RT-58,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-58
RT-60,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RT-60
RT-61,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RT-61
RT-7,,,,7,,30,,,,,,3,5,,RT-7
RT-71,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-71
RT-74,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-74
RT-76,,,-0.6,24,-1.5,75,,,,,,3,5,,RT-76
RT-83,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RT-83
RT-85,,,,,,,,,,,,3,5,,RT-85
RT-88,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RT-88
RT-95,,,-0.6,23,-2,85,,,,,,3,5,,RT-95
RT-98,,,-0.6,24,-1.7,80,,,,,,3,5,,RT-98
RTH-101,,,,0,,10,,,,,,3,5,,RTH-101
RTH-102,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RTH-102
RTH-103,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RTH-103
RTH-104,,,,0,,10,,,,,,3,5,,RTH-104
RTH-201,,,-0.6,23,-2,85,,,,,,3,5,,RTH-201
RTH-202,,,,0,,10,,,,,,3,5,,RTH-202
RTH-203,,,-0.6,23,-2,85,,,,,,3,5,,RTH-203
RTH-204,,,,0,,10,,,,,,3,5,,RTH-204
RTH-205,,,,0,,10,,,,,,3,5,,RTH-205
RTH-302,,,-0.6,24,-1.75,80,,,,,,3,5,,RTH-302
RTH-401,,,-0.4,29,-1.18,73.5,,,,,,4,7,,RTH-401
RTH-404,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-404
RTH-405,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-405
RTH-406,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-406
RTH-407,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-407
RTH-408,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-408
RTH-409,,,,0,,10,,,,,,3,5,,RTH-409
RTH-410,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-410
RTH-412,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-412
RTH-413,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-413
RTH-414,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-414
RTH-415,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-415
RTH-416,,,,0,,10,,,,,,3,5,,RTH-416
RTH-417,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-417
RTH-419,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-419
RTH-420,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-420
